rec_id_edu,ssn,first_name_edu,middle_name_edu,last_name_edu,gender_edu,current_age,birth_date_edu,street_address_edu,suburb_edu,postcode_edu,state_edu,phone_edu,email_edu,education,occupation,salary,credit_card_number,years_of_experience,employment_timestamp,rec_id_med,first_name_med,middle_name_med,last_name_med,gender_med,age_at_consultation,birth_date_med,medicare_number,street_address_med,suburb_med,postcode_med,state_med,phone_med,email_med,marital_status,height,weight,bmi,blood_pressure,cholesterol_level,smoking_status,clinical_notes,consultation_timestamp
R38655088,g103858568,jimmy,mangum,smith,m,33.0,4/11/1987, 250  baltimore  parade  raafa  estate ,merriwa,6030.0,wa, 08  7425  7464 ,jimmy56@yahoo.com,certificate-ii,other-service-worker,9999.0, 8134  0157  1434  4658 ,8.0,2014-12-08t21:52+00:00,rec-53299,jimmy,mangum,smith,m,27.0,4/11/1987, 7078  41596  1  2 , 250  baltimore  parade  raafa  estate ,merriwa,,wa, 08  7425  7464 ,,not-married,185.0,63.0,18.407596785975162,78.0,280.0,0.0,heart-palpitations-(irregular-heart-beat),2014-03-06t20:10+00:00
R02417424,d121440274,christopher,,witherspoon,f,73.0,29/10/1947, 1  ra  road  heritage  caravan  park , alice  springs ,870.0,nt, 08  6300  8776 ,witherspoon13@mail.com,certificate-ii,other-worker,57864.0, 4144  0563  7233  4958 ,45.0,2011-12-20t09:12+00:00,rec-93085,christopher,s,witherspoon,f,68.0,29/10/1947, 3883  64959  2  2 , 1  ra  road  heritage  caravan  park , alice  springs ,870.0,nt, 08  6300  8776 ,witherspoon13@mail.com,divorced,174.0,87.0,28.735632183908045,70.0,167.0,0.0,constipation,2015-03-04t14:29+00:00
R02198864,h162891480,cheryl,,brown,f,64.0,25/3/1956, 868  old  calder  highway  keilor  retirement  village ,keilor,3036.0,vic, 03  4499  6814 ,cheryl.brown@gmail.com,certificate-iii,engineering-worker,96202.0, 9542  3140  4377  6038 ,41.0,2016-02-25t08:27+00:00,rec-7702,cheryl,g,brown,f,59.0,25/3/1956, 3681  49758  1  2 , 868  old  calder  highway  keilor  retirement  village ,keilor,3036.0,vic, 03  4499  6814 ,,married-de-facto,184.0,146.0,43.123818525519845,74.0,271.0,0.0,hosptalized-for-possible-stroke-(no-stroke-occurred),2015-08-21t02:48+00:00
R59251675,a155179265,pamela,ann,mersch,f,18.0,12/12/2002, 247  trower  road  shop  gd ,casuarina,810.0,nt, 08  4572  9968 ,,senior-secondary-school,casual-worker,0.0, 5373  5772  9296  3632 ,1.0,2020-01-11t20:58+00:00,,,,,,,,,,,,,,,,,,,,,,,
R58942075,b190855724,anna,k,pope,f,17.0,27/1/2003, 1  lagoon  road  house  106 ,berrimah,828.0,nt, 08  9661  5173 ,pope.anna@mail.com.au,senior-secondary-school,casual-worker,0.0, 4118  0829  2680  4525 ,2.0,2020-05-08t10:24+00:00,rec-28956,anna,k,pope,f,14.0,27/1/2003, 8003  12619  1  2 , 1  lagoon  road  house  106 ,berrimah,828.0,nt, 08  9661  5173 ,,,166.0,50.0,18.144868631151112,74.0,125.0,0.0,low-energy,2017-06-17t06:17+00:00
R51944242,h142954142,william,ezzell,lemons,f,50.0,12/5/1970, 112  hitchcock  road  burgess  aframe ,yarck,3719.0,vic, 03  4715  5310 ,rohfjbilta@aol.com,certificate-iv,engineering-worker,, 2350  4306  7389  5297 ,31.0,2020-04-18t11:12+00:00,rec-83058,william,ezzell,lemons,f,45.0,12/5/1970, 1405  93091  1  2 , 485  nepean  highway  clydebank , mount  martha ,,vic,,,married-de-facto,198.0,55.0,14.029180695847362,70.0,68.0,1.0,nasal-congestion,2015-08-10t09:18+00:00
R52149244,h142954142,william,ezzell,lemons,f,50.0,12/5/1970, 112  hitchcock  road  burgess  aframe ,yarck,3719.0,vic, 03  4715  5310 ,rohfjbilta@aol.com,certificate-iv,engineering-worker,, 2350  4306  7389  5297 ,31.0,2020-04-18t11:12+00:00,rec-83058,william,ezzell,lemons,f,45.0,12/5/1970, 1405  93091  1  2 , 485  nepean  highway  clydebank , mount  martha ,,vic,,,married-de-facto,198.0,55.0,14.029180695847362,70.0,68.0,1.0,nasal-congestion,2015-08-10t09:18+00:00
R13159991,a151939911,mayfa,marie,graeme,f,58.0,28/4/1962, 156  main  north  road  clayton  aged  care ,prospect,5082.0,sa, 08  2011  8402 ,mayfa.graeme@yahoo.com,certificate-i,clerks,41231.0, 1888  4506  0818  9457 ,39.0,2020-03-10t20:12+00:00,rec-48832,mayfa,marie,graeme,m,53.0,28/4/1962, 3890  61768  1  1 , 156  main  north  road  clayton  aged  care ,prospect,5082.0,sa,,mayfa.graeme@yahoo.com,not-married,166.0,92.0,33.386558281318045,75.0,164.0,0.0,dizziness,2015-08-06t04:20+00:00
R08764897,d147896870,jovita,dawn,gibson,f,54.0,15/8/1966, 191  woongarra  scenic  drive  carlyle  garden  bargara  4670  qld ,,,, 07  8650  7640 ,gibson28@yahoo.com,certificate-iv,automotive-worker,58733.0, 5268  3938  5130  5202 ,35.0,2020-04-20t16:50+00:00,rec-44299,jovita,dawn,gibson,f,46.0,15/8/1966, 7039  53260  1  1 , 1  toolara  road  cooloola  waters , tin  can  bay ,4580.0,qld,,gibson28@yahoo.com,not-married,194.0,73.0,19.39632266978425,76.0,154.0,0.0,wandering,2012-07-02t08:37+00:00
R38589593,a138395985,robert,casey,thornton,m,24.0,9/4/1996, 2  wilkinson  way  cranlana , ringwood  north ,3134.0,vic, 03  5360  4513 ,,certificate-iv,construction-worker,60797.0, 1443  8146  6181  9237 ,5.0,2020-01-11t11:48+00:00,rec-42493,robert,casey,thornton,m,16.0,9/4/1996, 4543  19925  2  3 , 2  wilkinson  way  cranlana , ringwood  north ,,vic, 03  5360  4513 ,thornton22.mail.com.au,not-married,188.0,94.0,26.595744680851066,74.0,148.0,0.0,infected-tooth/tooth-infection---right-molar-(lower),2014-04-21t11:15+00:00
R32927435,h193257234,bernie,christopher,franklin,m,29.0,10/5/1991, 3  port  jackson  circuit  georgian  mews ,phillip,2606.0,act,,franklin74@aol.com,senior-secondary-school,farm-worker,10523.0, 5174  0565  9270  4117 ,10.0,2020-02-22t18:37+00:00,rec-14099,bernie,christopher,franklin,m,24.0,10/5/1991, 5499  38824  1  3 , 3  port  jackson  circuit  georgian  mews ,phillip,,act,,franklin74@aol.com,widowed,179.0,140.0,43.694017040666644,76.0,170.0,1.0,redness-around-lumbar-puncture-site.,2015-08-20t13:38+00:00
R88933251,d138283951,robert,davis,brannon,f,38.0,26/11/1982, 49  de  castella  road  the  palms ,gympie,4570.0,qld, 07  6332  7140 ,robert.brannon@mail.com,senior-secondary-school,farm-worker,16326.0, 0802  5533  7049  3318 ,10.0,2011-11-22t19:45+00:00,rec-74383,robert,davis,brannon,f,33.0,26/11/1982, 2104  21490  2  2 , 49  de  castella  road  the  palms ,gympie,4570.0,qld,,,married,188.0,123.0,34.80081484834767,74.0,155.0,0.0,arthritis-pain,2015-07-20t22:18+00:00
R02720858,g180282075,kevin,lee,boyd,f,13.0,19/3/2003, 11  Askew  Close , Kurri  Kurri ,2327.0,NSW, 02  7360  7664 ,kevin87@mail.com,senior-secondary-school,casual-worker,, 3424  1854  6081  6229 ,2.0,2016-07-10T06:55+00:00,,,,,,,,,,,,,,,,,,,,,,,
R50084069,g106904805,edward,robert,deluca,m,42.0,27/11/1978, 71  alexandra  street  park  avenue , north  rockhampton ,4701.0,qld, 07  0810  4689 ,deluca.edward@mail.com,advance-diploma,other-technician,, 9116  6964  8710  3217 ,23.0,2020-07-25t15:41+00:00,rec-57885,edward,robert,deluca,m,38.0,27/11/1978, 1532  19896  1  1 , 71  alexandra  street  park  avenue , north  rockhampton ,,qld,,deluca.edward@mail.com,married,169.0,144.0,50.41840271699171,72.0,166.0,0.0,headache,2016-08-17t18:50+00:00
R56490080,g106904805,edward,robert,deluca,m,42.0,27/11/1978, 71  alexandra  street  park  avenue , north  rockhampton ,4701.0,qld, 07  0810  4689 ,deluca.edward@mail.com,advance-diploma,other-technician,9999.0, 9116  6964  8710  3217 ,23.0,2020-07-25t15:41+00:00,rec-57885,edward,robert,deluca,m,38.0,27/11/1978, 1532  19896  1  1 , 71  alexandra  street  park  avenue , north  rockhampton ,,qld,,deluca.edward@mail.com,married,169.0,144.0,50.41840271699171,72.0,166.0,0.0,headache,2016-08-17t18:50+00:00
R74107882,b114077882,niem,edward,varga,m,30.0,24/2/1990, 1  cockburn  road  coogee  beach  resort ,coogee,6166.0,wa, 08  6183  0632 ,varga1@aol.com,certificate-iii,other-worker,54793.0, 5777  5790  1660  9537 ,11.0,2020-07-16t04:24+00:00,,,,,,,,,,,,,,,,,,,,,,,
R12548848,i128154848,jeremy,ali,harshaw,f,33.0,1/9/1987, 1  yarra  street  haddon ,echuca,3564.0,vic, 03  3280  2651 ,jeremy.harshaw@mail.com.au,graduate-certificate,health-professional,122778.0, 4112  3568  7157  6474 ,14.0,2020-02-09t13:59+00:00,rec-74245,jeremy,ali,harshaw,m,28.0,1/9/1987, 1173  26104  1  1 , 92  randles  road  morangarell ,connewarre,3227.0,vic, 03  3280  2651 ,jeremy.harshaw@mail.com.au,married,177.0,99.0,31.600114909508758,72.0,148.0,1.0,dizziness/orthostatic-hypotension,2015-01-24t17:03+00:00
R57867693,h175863679,johnny,edward,fite,m,61.0,5/12/1959, 24  east  esplanade  flt  19 ,manly,2095.0,nsw, 02  2041  8912 ,fite.johnny@gmail.com,senior-secondary-school,cleaner,9999.0, 5888  9102  3483  2876 ,42.0,2020-04-02t10:43+00:00,rec-48860,johnny,edward,fite,m,60.0,5/12/1959, 7707  44932  2  2 , 24  east  esplanade  flt  19 ,manly,2095.0,nsw, 02  2041  8912 ,fite.johnny@gmail.com,married,199.0,112.0,28.282114088028077,76.0,70.0,1.0,bilateral-hip-osteoarthritis,2019-12-15t14:33+00:00
R92944377,c193727449,billy,richard,jordan,f,26.0,2/9/1994, 21  riverside  drive  king  ash  bay ,borroloola,854.0,nt, 08  8426  1848 ,tnkjeqatcc@mail.com.au,certificate-ii,other-service-worker,51540.0, 6318  3286  3290  6327 ,7.0,2020-03-22t17:15+00:00,rec-89865,billy,richard,jordan,f,22.0,2/9/1994, 8541  14754  2  2 , 21  riverside  drive  king  ash  bay ,borroloola,854.0,nt,,,not-married,185.0,147.0,42.95105916727538,70.0,176.0,0.0,depressive-symptoms,2016-10-16t18:46+00:00
R32241293,h121422933,albert,e,keaton,f,63.0,16/8/1956, 62  Glover  Drive , Alexandra  Hills ,4161.0,QLD,,,diploma,other-technician,9999.0, 3202  6568  8271  9328 ,45.0,2019-05-04T10:47+00:00,,,,,,,,,,,,,,,,,,,,,,,
R67359949,h196379954,matthew,,kelly,m,10.0,7/11/2010, 193  morayfield  road  morayfield  garden ,morayfield,4506.0,qld, 07  7889  4482 ,qlphnsclkt@hotmail.com,primary-school,,0.0,,0.0,2020-02-16t01:51+00:00,rec-2394,matthew,,kelly,m,10.0,7/11/2010, 6881  94203  1  3 , 193  morayfield  road  morayfield  garden ,morayfield,4506.0,qld, 07  7889  4482 ,,,131.0,47.0,27.387681370549497,82.0,166.0,0.0,invasive-ductal-carcinoma,2020-03-19t08:03+00:00
R72351801,d125110873,james,albert,hill,f,70.0,31/12/1950, 5  barrett  drive  floreat  village , alice  springs ,870.0,nt, 08  0860  4306 ,james.hill@mail.com.au,advance-diploma,education-professional,149417.0, 0401  1946  1937  8601 ,49.0,2018-07-26t04:14+00:00,rec-77657,james,,hill,f,64.0,31/12/1950, 4325  19822  2  1 , 13  simpson  street  soapspar ,richmond,4822.0,qld, 07  7492  5856 ,,married-de-facto,195.0,100.0,26.298487836949377,74.0,173.0,0.0,urinary-frequency,2014-01-03t17:28+00:00
R27015993,g195039712,donna,denise,bowman,f,20.0,24/11/2000, 35  vellgrove  avenue  catalpa ,parkwood,6147.0,wa, 08  0523  4074 ,tamgklcrjb@aol.com,advance-diploma,other-technician,112476.0, 4061  5352  6824  4310 ,1.0,2020-05-02t21:26+00:00,rec-19544,donna,denise,bowman,f,11.0,24/11/2000, 9049  16200  1  2 , 83  rennie  south  crescent  wright  memorial  home ,hilton,,wa, 08  0523  4074 ,tamgklcrjb@aol.com,not-married,149.0,49.0,22.071077879374805,75.0,195.0,0.0,back-pain,2011-04-14t16:46+00:00
R57634698,e146379856,candace,lakei,riggan,f,22.0,13/5/1998, 1  collie-blue  street  rp  17668234 ,nandowrie,4722.0,qld, 07  4275  3514 ,fsicfenkik@mail.com.au,secondary-school,un-employed,2924.0, 3956  9283  7584  4643 ,3.0,2020-06-11t12:26+00:00,rec-27002,candace,lakei,riggan,m,17.0,13/5/1998, 4532  85819  2  3 , 404  binna  burra  road  binnarune , binna  burra ,2479.0,nsw,,fsicfenkik.mail.com.au,not-married,173.0,59.0,19.713321527615356,82.0,174.0,0.0,left-knee-pain,2015-01-01t17:16+00:00
R75165775,i117755576,carla,bridges,abernathy,f,32.0,14/6/1985, 60  Elder  Street , Alice  Springs ,870.0,NT,,doimttiobq@hotmail.com,advance-diploma,ict-technician,, 2032  8991  9492  3745 ,16.0,2017-04-13T03:20+00:00,,,,,,,,,,,,,,,,,,,,,,,
R73936015,d135307619,fred,alhaj,mathison,m,61.0,18/3/1959, 52  officer-upper  beaconsfiel  road  kimberley ,officer,3809.0,vic, 03  9977  5843 ,mathison36@yahoo.com,advance-diploma,education-professional,140316.0, 3373  3829  1856  4001 ,40.0,2018-04-17t23:27+00:00,rec-46702,fred,alhaj,mathison,m,58.0,18/3/1959, 7024  67869  2  1 , 52  officer-upper  beaconsfiel  road  kimberley ,officer,3809.0,vic, 03  9977  5843 ,,not-married,173.0,69.0,23.054562464499313,78.0,205.0,0.0,chronic-right-shoulder-pain,2017-11-09t06:26+00:00
R50499288,i190429885,joseph,terry,eakes,f,57.0,28/4/1963, 134  point  cartwright  drive  coast  chiropractic  kawana ,buddina,4575.0,qld, 07  5585  9974 ,eakes47@mail.com.au,masters-degree,general-manager,, 4741  9691  4587  4569 ,38.0,2020-03-14t15:39+00:00,rec-94571,joseph,terry,eakes,f,51.0,28/4/1963, 7319  93160  1  1 , 1199  norton  road  thunderwood ,bungendore,,nsw,,eakes47@mail.com.au,married,174.0,99.0,32.69916765755053,80.0,104.0,0.0,shunt-in-left-ureter,2014-09-06t16:22+00:00
R84666481,b166481684,mary,mauldin,jacobs,f,19.0,25/3/2001, 157  marconi  street  villa  187 , bonnells  bay ,2264.0,nsw, 02  7729  2633 ,jacobs11@hotmail.com,senior-secondary-school,machinary-driver,, 0413  2056  3455  3428 ,0.0,2020-07-01t04:21+00:00,rec-32591,mary,mauldin,jacobs,f,16.0,25/3/2001, 1100  69158  2  2 , 157  marconi  street  villa  187 , bonnells  bay ,2264.0,nsw, 02  7729  2633 ,jacobs11@hotmail.com,divorced,178.0,85.0,26.82742078020452,78.0,252.0,0.0,swelling-at-lp-site,2017-12-23t18:44+00:00
R38560536,a180536563,mark,james,ajiboye,m,30.0,11/3/1990, 2431  gold  coast  highway  mermaid  central  medical  centre , mermaid  beach ,4218.0,qld, 07  6914  6437 ,mark66@hotmail.com,senior-secondary-school,other-clerical-worker,44024.0, 5421  2524  5077  5577 ,7.0,2016-08-12t07:53+00:00,rec-30229,mark,james,ajiboye,m,28.0,11/3/1990, 9964  91693  1  2 , 2431  gold  coast  highway  mermaid  central  medical  centre , mermaid  beach ,4218.0,qld, 07  6914  6437 ,mark66@hotmail.com,married,178.0,109.0,34.40222194167403,79.0,149.0,1.0,blurred-vision,2018-04-13t12:23+00:00
R86533560,a180536563,mark,james,ajiboye,m,29.0,11/3/1990, 4  Styles  Street ,Alawa,810.0,NT,,mark66@hotmail.com,senior-secondary-school,other-clerical-worker,44024.0, 5421  2524  5077  5577 ,7.0,2015-10-06T12:34+00:00,rec-30229,mark,james,ajiboye,m,28.0,11/3/1990, 9964  91693  1  2 , 2431  gold  coast  highway  mermaid  central  medical  centre , mermaid  beach ,4218.0,qld, 07  6914  6437 ,mark66@hotmail.com,married,178.0,109.0,34.40222194167403,79.0,149.0,1.0,blurred-vision,2018-04-13t12:23+00:00
R04984781,d141789480,michael,scott,woods,f,17.0,20/5/2003, 1  sutties  gap  road  maalancamp , millaa  millaa ,4886.0,qld, 07  0306  2307 ,gisjgkgrml@gmail.com,senior-secondary-school,casual-worker,0.0, 5549  3980  4871  7817 ,2.0,2020-04-18t17:01+00:00,rec-86198,michael,scott,woods,f,13.0,20/5/2003, 7490  90394  2  3 , 11  watt  circuit  the  annie , west  lakes  shore ,,sa, 08  5226  7380 ,gisjgkgrml@gmail.com,,169.0,40.0,14.00511186583103,73.0,126.0,0.0,coughing,2016-10-05t09:10+00:00
R08364682,f138602468,horace,anthony,livesay,m,36.0,1/11/1984, 1441  gumley  road  stony  bank , mount  mercer ,3352.0,vic, 03  3778  1709 ,horace.livesay@aol.com,certificate-iv,other-technician,112277.0, 3007  9072  1673  3021 ,15.0,2018-07-23t05:29+00:00,rec-1462,horace,anthony,livesay,f,29.0,1/11/1984, 4595  62717  1  2 , 1  philmores  road  bellmaine ,bushfield,3281.0,vic,,,married,197.0,70.0,18.037053260841557,74.0,102.0,0.0,chest-congestion,2013-05-07t02:07+00:00
R71234440,h114037442,cherrika,michelle,loeslein,f,43.0,24/8/1977, 19  oolilpa  street  louisa  tor  1 , mount  louisa ,4814.0,qld, 07  7777  2976 ,cherrika.loeslein@mail.com,certificate-i,clerical-worker,, 8897  8053  9109  0553 ,16.0,2012-06-18t14:48+00:00,rec-32815,cherrika,michelle,loeslein,f,36.0,24/8/1977, 8398  54128  2  1 , 19  oolilpa  street  louisa  tor  1 , mount  louisa ,4814.0,qld, 07  7777  2976 ,cherrika.loeslein@mail.com,not-married,194.0,91.0,24.178977574662557,71.0,167.0,1.0,dizziness,2013-10-05t23:53+00:00
R08283075,h173050882,william,martin,ingalls,m,73.0,18/5/1947, 20  piggabeen  road  cobaki  broadwater  village , tweed  heads  south ,2486.0,nsw, 02  3280  0015 ,william.ingalls@gmail.com,diploma,automotive-worker,, 1689  9377  1245  4847 ,54.0,2020-06-13t14:16+00:00,rec-40021,william,martin,ingalls,m,66.0,18/5/1947, 1089  98904  1  1 , 157  marconi  street  henry  kendall  bayside , bonnells  bay ,2264.0,nsw,,william.ingalls@gmail.com,divorced,196.0,94.0,24.46897126197418,81.0,185.0,0.0,death,2013-09-24t06:47+00:00
R78072623,a123860727,john,l,lemasters,f,74.0,14/5/1946, 335  eastbourne  road  villa  137 , rosebud  west ,3940.0,vic, 03  5001  6147 ,john53@mail.com.au,graduate-certificate,legislator,, 9211  5125  1043  2922 ,55.0,2020-03-10t24:06+00:00,rec-76587,john,,lemasters,f,71.0,14/5/1946, 3842  37960  2  1 , 335  eastbourne  road  villa  137 , rosebud  west ,3940.0,vic, 03  5001  6147 ,,widowed,192.0,111.0,30.110677083333336,79.0,216.0,0.0,suspiciousness-about-money-issues,2020-04-19t07:40+00:00
R06872327,a123860727,john,l,lemasters,f,73.0,14/5/1946, 20  Neville  Street , Keilor  East ,3033.0,VIC, 03  6260  6130 ,john53@mail.com.au,graduate-certificate,legislator,133664.0, 9211  5125  1043  2922 ,55.0,2019-01-14T13:25+00:00,rec-76587,john,,lemasters,f,71.0,14/5/1946, 3842  37960  2  1 , 335  eastbourne  road  villa  137 , rosebud  west ,3940.0,vic, 03  5001  6147 ,,widowed,192.0,111.0,30.110677083333336,79.0,216.0,0.0,suspiciousness-about-money-issues,2020-04-19t07:40+00:00
R47218049,a109728144,marcus,franklin,bailes,f,71.0,16/12/1949, 149  piggabeen  road  cobaki  broadwater  village , tweed  heads  south ,2486.0,nsw, 02  2491  9816 ,bailes83@aol.com,bachelor-degree,ict-professional,107893.0, 9707  8332  2256  6264 ,52.0,2020-06-25t03:02+00:00,rec-70359,marcus,franklin,bailes,f,65.0,16/12/1949, 8601  61773  1  2 , 53  douglas  street  mitchell  highway ,geurie,2831.0,nsw, 02  2491  9816 ,bailes83@aol.com,married,189.0,126.0,35.27336860670194,76.0,129.0,0.0,urinary-discomfort,2014-05-17t13:50+00:00
R84634719,i144791638,margaret,mcpherson,dines,f,78.0,20/11/1942, 1  woodhall  place  knightsbridge  esta ,tarneit,3029.0,vic, 03  1410  7668 ,,secondary-school,re-tired,0.0, 6058  1402  9445  6997 ,45.0,2019-03-05t03:12+00:00,rec-1992,margaret,mcpherson,dines,f,72.0,20/11/1942, 9903  60430  1  1 , 1  glendale  court  glendale  hostel ,werribee,3030.0,vic,,margaret.dines@mail.com,married-de-facto,167.0,108.0,38.72494531894295,74.0,77.0,0.0,insomnia,2014-05-19t07:53+00:00
R12926409,d162924190,kevin,brian,norris,m,66.0,13/2/1952, 7  keith  lane  level  one , fannie  bay ,820.0,nt, 08  1824  5343 ,norris.kevin@aol.com,certificate-iv,other-technician,, 9868  5471  0929  0088 ,46.0,2015-08-25T11:03+00:00,,,,,,,,,,,,,,,,,,,,,,,
R30804674,e170680344,joseph,owen,powell,m,27.0,4/6/1993, 69  pywells  road  yarra  glen ,luskintyre,2321.0,nsw, 02  0310  1058 ,btqbrhrkqt@gmail.com,graduate-certificate,ict-professional,85505.0, 8168  3697  6876  6405 ,6.0,2018-08-02t10:30+00:00,rec-5902,joseph,owen,powell,m,22.0,4/6/1993, 4322  73005  2  3 , 69  pywells  road  yarra  glen ,luskintyre,2321.0,nsw,,btqbrhrkqt@gmail.com,married-de-facto,197.0,99.0,25.509546754618775,76.0,185.0,0.0,fall-secondary-to-slipping-in-shower,2015-10-26t24:31+00:00
R55559656,g195655556,james,hugh,hollman,m,46.0,14/7/1974, 80  the  esplanade  colonial  townhouse ,darwin,800.0,nt, 08  3104  3743 ,hollman78@mail.com,graduate-diploma,ict-professional,80131.0, 0549  6557  9624  7800 ,27.0,2020-06-18t21:56+00:00,rec-52611,james,hugh,hollman,m,44.0,14/7/1974, 4312  49790  1  1 , 80  the  esplanade  colonial  townhouse ,darwin,800.0,nt,,,married-de-facto,166.0,143.0,51.89432428509218,75.0,210.0,0.0,diarrhea,2018-12-26t20:09+00:00
R11833426,a142338161,freda,gilliam,frady,f,68.0,27/9/1952, 7  champagne  boulevard  oyster  cove , hope  island ,4212.0,qld, 07  6741  6764 ,freda.frady@gmail.com,graduate-certificate,legal-professional,, 3685  0341  6965  8766 ,47.0,2018-06-03t11:33+00:00,rec-37262,freda,gilliam,frady,f,64.0,27/9/1952, 6596  83494  2  1 , 7  champagne  boulevard  oyster  cove , hope  island ,4212.0,qld, 07  6741  6764 ,freda.frady@gmail.com,married-de-facto,186.0,73.0,21.10070528384784,74.0,204.0,0.0,chest-pain-due-to-mild-heart-attack,2016-10-21t14:02+00:00
R87348453,e148745833,talmadge,junior,robinson,f,32.0,21/1/1988, 1  marshall  way  hse  135 , nambucca  heads ,2448.0,nsw, 02  5453  7250 ,,graduate-diploma,general-manager,9999.0, 6837  2274  7090  1096 ,13.0,2020-01-15t20:08+00:00,rec-85907,talmadge,junior,robinson,f,29.0,21/1/1988, 7407  18581  1  1 , 1  marshall  way  hse  135 , nambucca  heads ,2448.0,nsw, 02  5453  7250 ,talmadge80@mail.com.au,not-married,177.0,112.0,35.74962494813112,78.0,138.0,0.0,depressed-mood,2017-03-06t13:18+00:00
R74485645,a164544578,earl,iven,gilliam,m,42.0,5/1/1978, 8  ash  drive  barossa  valley  tourist  park ,nuriootpa,5355.0,sa, 08  2622  8281 ,ahnlmarmgl@aol.com,diploma,other-technician,9999.0, 0217  3038  2502  1424 ,21.0,2018-05-06t02:36+00:00,rec-21795,earl,,gilliam,m,36.0,5/1/1978, 2464  43330  1  2 , 3  meander  avenue  jane  eliza ,renmark,5341.0,sa, 08  2622  8281 ,,married,179.0,71.0,22.15910864205237,73.0,142.0,0.0,headaches,2014-10-06t14:55+00:00
R96289689,i168992986,paulino,dewey,palmisano,f,76.0,15/4/1944, 779  coopers  road  paringa ,bamganie,3333.0,vic, 03  9143  8297 ,paulino.palmisano@yahoo.com,diploma,re-tired,, 5457  6972  4751  5749 ,45.0,2020-01-18t08:38+00:00,rec-79813,paulino,dewey,palmisano,f,73.0,15/4/1944, 8496  72024  1  1 , 779  coopers  road  paringa ,bamganie,3333.0,vic, 03  9143  8297 ,paulino.palmisano@yahoo.com,married,185.0,79.0,23.08254200146092,77.0,223.0,0.0,constipation,2017-11-19t24:41+00:00
R42009775,h105720497,craig,d,daye,m,60.0,2/10/1960, 8  queen  louisa  drive  swanport  estate , murray  bridge ,5253.0,sa,,daye.craig@mail.com.au,secondary-school,cleaner,11137.0, 6279  8292  0438  8396 ,41.0,2020-03-12t04:13+00:00,rec-12642,craig,d,daye,m,55.0,2/10/1960, 6149  58733  1  1 , 1  hypo  hills  road  hopefull  hills , coober  pedy ,5723.0,sa,,,married,183.0,111.0,33.14521186061094,69.0,164.0,0.0,cyst-on-kidneys,2015-08-01t20:52+00:00
R81383498,a189134838,frances,lea,watson,f,60.0,13/3/1960, 17  mallam  crescent  john  hawkins  court , alice  springs ,870.0,nt, 08  5081  4337 ,frances.watson@aol.com,secondary-school,shop-assistent,, 4539  1567  6701  8034 ,41.0,2020-02-05t17:51+00:00,rec-50072,frances,lea,watson,f,55.0,13/3/1960, 1339  37984  1  1 , 59  smith  street  cml  building ,darwin,800.0,nt,,frances.watson@aol.com,not-married,168.0,139.0,49.248866213151935,84.0,147.0,0.0,1-minor-fall,2015-12-24t24:25+00:00
R32664089,c160293864,ebony,michelle,chang,f,61.0,23/10/1959, 88  smith  street  emmerton  park  host ,smithton,7330.0,tas, 03  9798  9016 ,tqqnsmjdfd@mail.com,diploma,ict-technician,72895.0, 3990  0913  3133  7458 ,34.0,2012-11-10t09:19+00:00,rec-46782,ebony,michelle,chang,f,55.0,23/10/1959, 5702  90852  1  1 , 88  smith  street  emmerton  park  host ,smithton,7330.0,tas,,tqqnsmjdfd.mail.com,not-married,169.0,138.0,48.31763593711705,68.0,209.0,0.0,insomnia,2014-06-14t20:51+00:00
R55299358,a189395552,michael,linwood,abernathy,m,70.0,28/5/1950, 6  collins  close  masonic  village ,gorokan,2263.0,nsw, 02  4072  9073 ,abernathy.michael@gmail.com,certificate-i,secretary,32673.0, 4695  4091  4984  6479 ,51.0,2020-01-04t23:02+00:00,rec-29950,michael,linwood,abernathy,m,66.0,28/5/1950, 9553  91199  1  2 , 161  london  circuit  colonial  building , canberra  city ,,act, 02  5428  2169 ,abernathy.michael@gmail.com,married,180.0,129.0,39.81481481481481,74.0,159.0,0.0,fall,2016-04-09t21:54+00:00
R67237570,h127077653,linda,spaugh,woodard,f,26.0,16/5/1994, 1  princes  highway  yellow  pinch  park ,merimbula,2548.0,nsw, 02  9891  6729 ,linda.woodard@mail.com.au,certificate-iv,construction-worker,9999.0, 3542  9819  1465  2575 ,7.0,2020-07-19t01:35+00:00,rec-43123,linda,spaugh,woodard,f,22.0,16/5/1994, 4111  40568  1  2 , 1  princes  highway  yellow  pinch  park ,merimbula,2548.0,nsw, 02  9891  6729 ,linda.woodard.mail.com.au,not-married,183.0,132.0,39.41592761802382,74.0,164.0,0.0,delirium,2017-09-23t15:14+00:00
R25254729,b125452792,christopher,micheal,chester,f,50.0,1/9/1970, 1  cassilis  road  sulleys ,merriwa,2329.0,nsw, 02  5234  2423 ,mtnknbnphr@mail.com,certificate-iv,ict-technician,135741.0, 1343  0381  0568  4554 ,30.0,2019-04-09t03:17+00:00,rec-95383,christopher,micheal,chester,f,44.0,1/9/1970, 2278  36133  1  1 , 1  cassilis  road  sulleys ,merriwa,2329.0,nsw,,,not-married,181.0,99.0,30.218857788223804,81.0,102.0,0.0,depressed-mood,2014-01-18t03:31+00:00
