rec_id,ssn,first_name,middle_name,last_name,gender,age_at_consultation,birth_date,medicare_number,street_address,suburb,postcode,state,phone,email,marital_status,height,weight,bmi,blood_pressure,cholesterol_level,smoking_status,clinical_notes,consultation_timestamp
rec-10871,e154390995,jessie,perry,febres,f,54,20/2/1960, 8244  11502  1  2 , 39  hawkesbury  road  donald  coburn  lodg ,springwood,2777,nsw,,jessie55.mail.com,married,178,82,25,74,174,0,pontine-infarct,2017-10-22t05:48+00:00
rec-9978,h194221600,kristopher,coleman,alexander,f,17,21/12/1999, 1183  33104  1  2 , 27  victoria  street  barkly  st  medical  clinic ,warragul,3820,vic, 03  1269  3054 ,,married-de-facto,181,89,27,75,116,0,headaches,2016-11-03t18:23+00:00
rec-94094,g165342383,roger,thomas,terrell,f,41,14/11/1975, 6873  29035  2  2 , 367  collins  street  fl  20 ,melbourne,,vic,,roger87@hotmail.com,married,191,131,35,69,188,0,fussier,2016-08-07t08:09+00:00
rec-51446,b120286376,ann,howell,carroll,f,43,20/8/1971, 9431  16349  1  1 , 375  west  road  robinson  road ,geebung,,qld, 07  2684  1560 ,ann.carroll@gmail.com,married,195,106,27,74,208,0,low-energy,2014-09-15t17:16+00:00
rec-52310,a186518914,isaiah,h,gray,m,41,6/4/1976, 8674  31721  1  2 , 67  crozier  circuit  urambi  village ,kambah,2902,act,,gray29@yahoo.com,not-married,165,56,20,67,193,0,glaucoma-surgery---r-eye,2017-08-07t04:21+00:00
rec-76218,b104680863,donald,ray,yap,f,21,3/6/1994, 3730  50626  2  2 , 694  arlington  road  arlington ,tara,,qld,,,not-married,165,149,54,74,176,0,ischemic-colitis,2015-02-06t02:40+00:00
rec-73488,h141174839,andrew,dwight,chavis,f,42,2/5/1969, 2805  45575  1  1 , 26  isa  street  corbould , mount  isa ,4825,qld, 07  8800  3603 ,chavis.andrew.mail.com,divorced,179,117,36,77,153,0,increased-urinary-frequency-2/2---benign-prostatic-hyperplasia,2012-10-14t23:08+00:00
rec-90484,g163586830,harold,julio,moore,f,16,17/4/1998, 6191  15074  2  3 , 143  bundilla  boulevard  robinda  garden , mountain  creek ,4557,qld,,moore.harold@yahoo.com,married,174,-99,22,74,222,0,headaches-due-to-medication,2014-07-13t15:45+00:00
rec-70947,g194070501,howard,martin,burde,f,60,27/4/1955, 2932  19930  2  2 , 22  ross  street  apt  8g ,wollstonecraft,2065,nsw, 02  1970  7325 ,burde11@mail.com,divorced,175,131,42,75,177,1,muscloskeletal-pain,2015-07-10t12:26+00:00
rec-88251,g148833912,scott,brandon,tripp,f,10,10/2/2004, 3609  98118  2  2 , 127  west  dianne  street  the  groves ,lawnton,,qld, 07  4733  3845 ,tripp.scott@mail.com.au,n/a,142,36,17,66,151,0,urinary-frequency,2014-12-03t19:17+00:00
rec-71419,f194438061,isaiah,james,pearce,f,17,9/11/1997, 7851  38992  1  2 , 258  spring  street  yukana  retirement  village ,toowoomba,,qld,,,not-married,179,94,29,74,146,0,cataract,2014-06-01t10:13+00:00
rec-91512,c182400490,edwin,peyton,willis,f,17,20/8/1999, 1892  47809  1  3 , 25  brinsmead  lane  leo-villa ,leopold,3224,vic, 03  9149  9871 ,,married,176,77,24,74,185,0,difficulty-swallowing,2016-12-12t20:54+00:00
rec-32143,g106898876,joyce,marie,lindley,f,62,9/11/1955, 7263  86795  2  1 , 122  church  street  the  hill ,newcastle,,nsw, 02  1539  8742 ,joyce50@mail.com,widowed,190,61,16,81,303,0,high-blood-pressure,2017-01-06t05:20+00:00
rec-27141,e132480251,larry,scott,pritt,m,20,16/12/1992, 1003  22110  2  3 , 237  dural  road  pitt  town ,maraylya,2765,nsw, 02  9757  7644 ,larry83@yahoo.com,not-married,167,60,21,80,205,0,heart-palpitations-inc.-of-cough-&-dizziness,2012-06-03t09:43+00:00
rec-55800,c199638240,mickey,,fields,m,57,15/7/1961, 4770  35822  1  1 , 81  kogarah  lane  argyle  square ,reid,,act,,,married,180,59,18,67,210,0,gout,2018-10-10t11:52+00:00
rec-22550,f179553127,jordan,elizabeth,lee,f,32,7/4/1984, 9969  79665  2  2 , 428  dohertys  junction  road  gadara  est ,hargraves,2850,nsw, 02  6063  0731 ,,widowed,172,124,41,71,154,0,nosebleed-right-nostril-(3-episodes),2016-09-16t09:36+00:00
rec-83433,h168653127,william,james,mickle,f,18,26/7/2000, 8368  73469  1  3 , 25  argyle  street  carryon  units ,mildura,3500,vic, 03  7096  4093 ,,not-married,189,85,23,72,145,0,left-knee-pain,2018-08-18t23:06+00:00
rec-44804,c174609493,amy,marleni,chamberlain,f,10,22/12/2004, 3957  26840  1  2 , 139  highett  street  flt  68 ,richmond,3121,vic, 03  0962  8119 ,amy8.hotmail.com,n/a,139,67,34,70,110,0,constipation,2017-08-14t02:46+00:00
rec-63649,f172700239,annmarie,,anixter,f,56,15/2/1955, 7931  55253  2  1 , 55  central  road  villa  5 ,narwee,2209,nsw,,smsjekedmj.gmail.com,married-de-facto,182,73,22,74,170,0,hypertension,2014-03-26t10:41+00:00
rec-75777,g131913180,john,winfred,conen,f,25,23/8/1991, 9237  56211  2  3 , 12  the  postern  braveheart  glen ,castlecrag,2068,nsw,,john.conen@mail.com,married,199,79,19,68,207,0,diarrhea-as-a-result-of-stomach-virus,2016-12-16t01:29+00:00
rec-66901,h182937673,doris,,bradford,f,56,7/2/1957, 7555  89962  1  1 , 49  halls  road  rockwood ,jerrara,2533,nsw,,,married,197,115,29,78,190,1,low-energy,2016-10-05t03:08+00:00
rec-25184,a147851147,dwight,lamar,bauer,f,70,14/4/1946, 7106  28412  2  2 , 56  lascelles  road  nth  road ,narraweena,2099,nsw, 02  7048  1494 ,dwight.bauer@gmail.com,married-de-facto,197,145,37,74,145,0,pre-cancerous-lesions-on-both-hands,2016-03-02t13:09+00:00
rec-35503,d180930274,william,marcellus,traylor,m,7,27/4/2009, 6173  38834  2  2 , 451  sydney  avenue  ocean  beach  van  park ,umina,,nsw, 02  1512  2872 ,traylor29@aol.com,n/a,129,31,18,64,253,0,heart-palpitations-(irregular-heart-beat),2016-09-22t23:35+00:00
rec-52642,c135455395,orlando,,shackelford,m,24,28/7/1990, 8798  48483  2  2 , 64  smith  street  manolas  bldg ,darwin,0800,nt, 08  5669  7598 ,shackelford47@hotmail.com,married-de-facto,174,-99,19,75,147,1,opiate-reactions,2014-05-15t16:52+00:00
rec-77674,g167079456,randy,wayne,gill,f,23,3/12/1992, 7346  94007  1  2 , 85  hester  street  cambrai  village ,merriwa,6030,wa, 08  0843  4459 ,,married,168,68,24,73,131,0,mohs---l-leg,2015-09-08t02:38+00:00
rec-28375,g108178467,james,ryan,coker,m,69,19/10/1950, 4237  95432  1  2 , 258  spring  street  yukana  retirement  village ,toowoomba,4350,qld, 07  8228  2317 ,coker20@gmail.com,married-de-facto,176,111,35,74,229,0,fall,2019-06-21t03:02+00:00
rec-38685,f138552683,pamela,ann,brown,f,71,25/12/1943, 1131  88331  2  1 , 62  lawrence  drive  earl  haven ,nerang,4211,qld, 07  0210  4885 ,brown.pamela@mail.com.au,married,182,133,40,74,246,0,skin-rash,2014-03-19t07:40+00:00
rec-69403,i101244118,george,dowell,swafford,m,59,13/5/1955, 3860  55016  2  2 , 2  export  drive  trade  development  zone ,berrimah,0828,nt, 08  9357  4551 ,piqcdrarhr@mail.com.au,not-married,193,-99,21,80,197,0,shortness-of-breath,2014-02-26t03:49+00:00
rec-56526,h192265979,paul,wayne,shearin,m,19,30/10/1994, 1883  18409  2  2 , 27  arrow  drive  hmas ,coonawarra,0820,nt, 08  5158  7450 ,shearin79@hotmail.com,married-de-facto,177,84,26,81,204,0,dry-mouth,2013-12-19t03:50+00:00
rec-19744,d120040676,ernest,edward,holland,m,40,1/12/1974, 3491  25113  1  1 , 1  eden  place  wallandale  heights ,wallan,3756,vic, 03  6557  7800 ,holland52.mail.com,married,190,105,29,75,229,0,possible-uti,2016-12-07t11:21+00:00
rec-16438,f176739677,rebecca,beth,pulley,f,48,9/11/1962, 1185  67242  1  2 , 3  ibis  road  st  johns  terrace ,wangaratta,3677,vic, 03  0229  9527 ,pulley86.gmail.com,married,198,75,19,75,215,0,urinary-retention,2013-07-27t07:17+00:00
rec-74452,b168562921,vincent,jared,blake,m,44,8/6/1976, 4091  35869  1  1 , 37  victoria  street  flt  7 ,elsternwick,3185,vic,,vincent.blake@aol.com,divorced,191,101,27,71,136,0,headache,2020-03-04t17:03+00:00
rec-20732,h169037449,damion,reeves,bell,m,56,18/7/1961, 6495  64390  1  1 , 41  port  rush  parade  raafa  estate , meadow  springs ,6210,wa, 08  6814  2943 ,damion78@hotmail.com,married,183,105,31,77,222,0,action-tremor-(shaky-writing),2017-09-17t11:55+00:00
rec-85921,e173843539,john,richard,hamilton,f,48,26/8/1971, 8907  81735  2  2 , 71  st  andrews  drive  villa  44 ,tewantin,,qld, 07  9270  0045 ,john52@yahoo.com,not-married,169,107,37,71,194,0,transient-hypotension,2019-08-04t23:54+00:00
rec-96304,b191150135,john,edward,wray,f,12,20/6/2002, 9041  11406  2  2 , 1305  eltham  road  the  gap ,alstonville,2477,nsw, 02  6381  2418 ,psehtiksja@mail.com,n/a,132,39,22,72,228,0,fluid-on-lungs,2014-09-04t16:14+00:00
rec-18629,d181758392,lidia,michele,dolin,f,62,26/6/1952, 2248  90875  2  1 , 1  bush's  lane  aroona ,gunnedah,,nsw, 02  2419  5782 ,,married,175,55,17,79,86,0,automobile-accident,2014-09-03t15:32+00:00
rec-67452,b150636553,harry,w,baldwin,m,4,27/6/2009, 1300  53033  1  3 , 17  king  george  parade  galloway ,portland,3305,vic,,baldwin.harry@yahoo.com,n/a,102,19,18,72,126,0,mild-headache,2013-02-15t09:10+00:00
rec-96710,f180544617,edward,james,jones,f,28,5/11/1988, 4435  18277  2  1 , 1  kotri  road  plan  1340 ,gemfields,,qld, 07  9208  8434 ,edward86@aol.com,divorced,186,105,30,78,130,1,vertigo,2016-12-21t03:56+00:00
rec-92956,c155735676,thomas,paul,pruitt,f,17,9/4/1995, 4741  37096  1  2 , 27  arrow  drive  hmas ,coonawarra,0820,nt,,,married,165,58,21,76,153,1,cataract-surgery-right-eye,2012-06-15t13:27+00:00
rec-75348,f151503663,wesley,,deans,f,16,24/1/1997, 4765  93028  1  2 , 7  jerilderie  court  ainslie  avenue ,reid,2612,act,,kcmjoogmbj@hotmail.com,not-married,176,57,18,78,184,0,diarrhea,2013-10-25t12:29+00:00
rec-2821,c188037305,felicia,ann,ross,f,20,17/2/1995, 1240  86088  1  2 , 5  goodooga  drive  gemstone  court ,bethania,4205,qld,,felicia21@mail.com,not-married,173,138,46,82,168,0,renal-failure,2015-11-08t10:58+00:00
rec-42557,f113102726,sabrina,nicole,little,f,61,4/2/1954, 3538  61300  2  1 , 89  naringal  road  panmure  road ,allansford,,vic, 03  6822  7534 ,,married,185,113,33,75,199,0,moderate-mitral-valve-regurgitation,2015-02-07t23:42+00:00
rec-2173,b137948349,geraldine,,edwards,f,44,19/7/1972, 9577  84365  2  1 , 38  thomson  lane  emohruo ,tallimba,,nsw,,geraldine1@gmail.com,married,167,138,49,73,242,0,fall,2016-04-02t21:14+00:00
rec-15354,a109399072,cayla,jean,potts,f,19,21/2/1997, 4117  34251  1  2 , 25  littles  lane  chandrelle ,korumburra,3950,vic, 03  2459  8781 ,,married,178,91,28,75,64,0,depressive-symptoms,2016-09-18t11:30+00:00
rec-40245,h150122473,donald,edward,parrish,m,65,30/5/1954, 4489  62303  1  1 , 1  milikapiti  street  snake  bay , melville  island ,0822,nt,,bikpmocrcf@mail.com.au,married,172,-99,26,73,139,0,wandering,2019-09-22t11:25+00:00
rec-18354,d118301766,marie,e,johnson,f,47,9/2/1968, 3583  35006  2  2 , 50  plumpton  road  glynwylln ,kooringal,2650,nsw,,,married,167,-99,22,75,201,0,drowsiness,2017-01-18t02:37+00:00
rec-46934,d163338794,pamela,michele,gutierrez,f,71,25/10/1943, 6984  87206  2  1 , 501  princes  highway  lynburn ,bomaderry,2541,nsw,,pamela.gutierrez@hotmail.com,divorced,199,72,18,80,177,1,knee-discomfort,2014-06-02t13:42+00:00
rec-39312,b110682854,charles,william,witherspoon,m,44,14/2/1973, 6763  22813  2  2 , 315  rockley  road  kawana ,perthville,2795,nsw, 02  8951  6186 ,witherspoon66@hotmail.com,married,165,106,38,74,179,0,cataract-of-right-eye,2017-03-09t17:22+00:00
rec-608,c198653501,james,fornia,brookshire,m,24,5/2/1993, 7859  34759  2  3 , 3458  bathurst  road  history  hill , hill  end ,2850,nsw, 02  3321  9650 ,mmkqshiosr@aol.com,married-de-facto,194,69,18,75,250,1,rhinorrhea,2017-05-01t01:07+00:00
rec-15195,c115710565,horace,william,sherrill,m,57,8/2/1962, 5971  24769  1  1 , 99  sunrise  avenue  bevington  vlge ,budgewoi,2262,nsw, 02  4789  0607 ,,married,183,76,22,72,154,0,lp-spinal-headache,2019-08-15t09:55+00:00
rec-47926,i106816947,coley,preston,gentry,m,32,5/12/1984, 5373  19302  1  1 , 25  beale  street  hibiscus  lane ,southport,4215,qld,,,married-de-facto,192,101,27,76,284,0,fall-w/-minor-injuries,2016-04-14t19:27+00:00
rec-91750,g109551816,richard,eric,mcglynn,f,18,2/7/1999, 1167  93971  1  2 , 380  purnong  road  map  490 ,mannum,5238,sa, 08  1284  7936 ,mcglynn3.gmail.com,married,170,124,42,75,249,0,low-energy,2020-05-13t19:53+00:00
rec-62919,f158958021,douglas,marvin,bezanker,m,53,8/7/1961, 5129  12124  2  1 , 3  kororoit  creek  road  elizabeth  terrace ,williamstown,3016,vic, 03  1519  9486 ,douglas.bezanker@hotmail.com,married,175,101,32,80,240,0,low-energy,2014-05-24t18:25+00:00
rec-66108,c113345424,frank,r,lenkiewicz,m,60,27/8/1955, 1427  22599  1  1 , 48  russell  street  flt  2 ,newtown,3220,vic, 03  1396  0415 ,lenkiewicz.frank@mail.com.au,married-de-facto,198,118,30,70,112,0,urinary-frequency,2015-04-07t12:05+00:00
rec-24709,f164884400,marcus,lee,welch,m,13,12/3/1999, 2510  91631  2  3 , 47  terrigal  drive  the  bungalows  vlge ,terrigal,2260,nsw, 02  9438  9985 ,welch.marcus@gmail.com,not-married,137,42,22,77,186,0,cough,2012-12-02t19:24+00:00
rec-17589,i188822712,shawna,,patterson,f,42,26/12/1973, 7202  22997  1  2 , 225  cadbury  road  derwent  waters ,claremont,7011,tas, 03  8166  1067 ,hmahglntlc@hotmail.com,not-married,196,65,16,75,195,0,bilateral-lumbar-radiculopathy,2015-04-19t06:20+00:00
rec-86519,g183053312,michael,o'neil,flores,f,77,11/1/1939, 7009  55476  1  2 , 5  dakkabin  street  raaf  base ,darwin,0800,nt,,michael.flores@mail.com.au,not-married,166,70,25,82,155,0,rib-fracture,2016-11-26t11:10+00:00
rec-29490,f189307585,james,simon,barrett,m,59,30/7/1954, 9525  59569  2  1 , 86  high  street  boonah  medical  centre ,boonah,,qld, 07  4724  8416 ,,not-married,175,55,17,73,130,0,fall,2013-01-24t20:52+00:00
rec-7138,g177381153,jeffrey,martin,coble,f,54,26/11/1962, 4201  36315  2  2 , 113  bass  highway  cambria ,parklands,,tas, 03  0150  9008 ,,not-married,184,69,20,76,91,1,dizziness,2016-01-25t04:40+00:00
rec-25862,a164879656,jeffrey,b,stewart,m,4,26/9/2008, 2782  99166  1  3 , 73  milne  street  myliton ,armidale,2350,nsw, 02  0584  2508 ,bodoanndni@aol.com,n/a,100,17,17,73,125,0,rash-from-contact-with-poison-ivy,2012-04-10t12:51+00:00
rec-3971,c172542847,chrystal,brady,phelps,f,43,19/6/1971, 5324  68017  2  1 , 604  batman  highway  bayview ,hillwood,,tas, 03  7716  7603 ,chrystal20@mail.com.au,married,191,104,28,73,162,1,diarrhea,2014-11-01t12:41+00:00
rec-48205,b143083572,lauren,michelle,freeze,f,63,28/1/1956, 2028  73209  2  2 , 22  a'beckett  road  hillview  hostel ,bunyip,,vic, 03  8296  8897 ,freeze30@yahoo.com,not-married,188,121,34,80,141,0,hypo-tension-w/-dizziness-&-sweating,2019-06-08t17:56+00:00
rec-34808,b116330089,kyle,rondell,conely,m,58,4/5/1961, 9394  17277  2  2 , 54  sydney  street  advance ,jandowae,4410,qld, 07  5539  8733 ,,married,174,64,21,77,174,0,depressed-mood,2019-02-25t16:11+00:00
rec-30546,b173514851,andrew,joseph,hamill,f,64,14/9/1952, 2222  62153  2  1 , 3049  gold  coast  highway  paradise  twrs , surfers  paradise ,,qld, 07  2545  8241 ,andrew.hamill@hotmail.com,married,182,71,21,71,127,0,21-pound-weight-loss-since-screening-visit,2016-01-24t15:34+00:00
rec-63718,i142193359,lavina,ann,morrow,f,41,3/1/1970, 5823  48674  2  2 , 100  birch  road  adelene  vlge ,wyoming,2250,nsw, 02  6386  5842 ,lavina.morrow@mail.com.au,married,191,111,30,80,198,1,angina,2011-06-19t14:38+00:00
rec-68361,g165262916,chloe,ellen,hege,f,16,5/12/1997, 2401  48544  1  2 , 1  oakendale  road  aridire , clarence  town ,,nsw, 02  4065  4804 ,,married-de-facto,177,65,20,74,76,1,fell-on-buttocks-while-putting-out-his-garbage,2013-04-21t16:10+00:00
rec-63814,g132224231,christos,austin,watson,m,11,21/6/2003, 8073  75992  2  2 , 285  old  coach  road  the  glen ,fairhaven,3231,vic, 03  5403  3919 ,christos.watson@mail.com.au,n/a,142,31,15,75,116,0,new-microhemorrhage-detected-on-mri,2014-02-13t14:47+00:00
rec-41169,i108689121,wendy,bates,hobbs,f,10,25/5/2010, 1904  44557  1  2 , 49  augusta  road  calvary  hospital  marian  hse , lenah  valley ,7008,tas, 03  5080  2851 ,wendy29@yahoo.com,n/a,122,34,22,77,130,0,increased-urinary-frequency-associated-with-possible-uti,2020-01-19t07:26+00:00
rec-17620,a158615607,billy,jovan,funderburk,f,67,8/2/1947, 7605  22801  1  2 , 9  panorama  crescent  harrowvale ,parkes,2870,nsw,,funderburk61@gmail.com,not-married,167,125,44,74,198,1,constipation,2014-06-23t14:53+00:00
rec-11629,i121845169,susannah,m,ignacio,f,13,23/7/2001, 1743  80484  2  2 , 290  coombs  road  oak  valley , kinglake  west ,,vic, 03  2080  2144 ,bihgdnegpq@hotmail.com,married-de-facto,147,49,22,72,211,0,intermittent-anxiety,2014-01-15t22:54+00:00
rec-29113,b159440710,pattye,judith,sattaluri,f,29,16/8/1982, 6747  60671  2  1 , 1  stockroute  road  rp  746899 ,mackay,4740,qld,,,separated,177,79,25,71,155,0,muscloskeletal-pain,2011-08-19t11:35+00:00
rec-54293,i111077174,renae,k,fox,m,47,15/1/1968, 3861  60524  2  2 , 65  highfields  road  concept ,highfields,4352,qld,,,married,167,132,47,76,102,0,pain-in-left-heel/ankle-after-surgery.--continues-to-ache-more-than-did-prior-to-surgery.,2015-11-11t14:59+00:00
rec-30273,a183484064,paul,junior,alsaedi,m,22,3/12/1991, 5570  83434  2  2 , 868  old  calder  highway  keilor  retirement  village ,keilor,3036,vic, 03  0816  9271 ,paul.alsaedi@mail.com.au,married-de-facto,193,76,20,68,269,0,urinary-frequency,2013-08-06t02:41+00:00
rec-78581,h105696124,james,jerry,davis,m,20,13/9/1992, 6854  20515  2  3 , 91  diagonal  road  masonic  village , somerton  park ,5044,sa,,james.davis.mail.com,married,193,62,16,66,125,1,intermittent-confusion,2015-09-26t18:21+00:00
rec-57455,f116413083,mary,sade,parvin,f,13,15/4/2004, 8804  82661  2  2 , 258  spring  street  yukana  retirement  vlge ,toowoomba,4350,qld, 07  6663  8531 ,,n/a,156,40,16,72,250,0,tia,2017-08-02t11:51+00:00
rec-35244,i173230636,anthony,tylor,smith,m,58,13/10/1958, 4759  87835  1  2 , 392  redwood  road  redwood  vlge ,kingston,7051,tas,,,not-married,186,149,43,74,107,1,fall,2016-06-04t09:58+00:00
rec-96988,d134325668,james,dean,gower,f,34,9/4/1979, 4706  35230  1  2 , 6  leichhardt  terrace  leichtodd  plaza , alice  springs ,0870,nt, 08  8282  5668 ,james.gower@mail.com,married-de-facto,194,116,30,75,123,0,blurry-vision-l-eye,2013-05-01t05:17+00:00
rec-87755,h174052351,paul,,calnan,f,53,4/4/1962, 9408  99829  2  2 , 1  bridgman  drive  bentley  park  stag , reedy  creek ,4228,qld,,paul14@yahoo.com,married,192,101,27,78,170,1,broken-scapula-(from-fall),2015-01-02t07:24+00:00
rec-11813,h111211966,kristin,nicole,rodgers,f,9,25/10/2007, 7501  25637  2  3 , 27  caloola  crescent  raaf  base ,darwin,0800,nt, 08  8180  8324 ,,n/a,137,33,17,75,217,0,bunions-(r)-foot-on-top-and-side,2016-06-16t19:12+00:00
rec-2993,h141619752,paul,,holland,m,21,21/6/1994, 5385  48978  1  3 , 247  trower  road  shop  gd ,casuarina,0810,nt, 08  3799  7194 ,paul.holland.aol.com,not-married,189,67,18,75,186,0,sore-throat,2016-05-02t11:12+00:00
rec-85097,c129869397,eric,frank,slutsky,f,26,20/9/1989, 9730  50749  1  1 , 293  good  friday  gully  road  arabanoo ,maimuru,2594,nsw, 02  8693  3700 ,slutsky.eric@mail.com.au,not-married,191,61,16,78,137,0,intermittent-nausea,2015-01-10t04:23+00:00
rec-29383,c109005803,john,w,johnson,m,53,24/2/1959, 4183  56238  2  1 , 1  woodrow  avenue  figtree  garden ,figtree,2525,nsw,,john74.mail.com,married-de-facto,196,111,28,76,185,0,stings-when-urinates,2014-12-13t07:33+00:00
rec-79781,g176248889,alan,everett,d'auria,f,49,2/9/1964, 4933  72190  1  2 , 20  tippings  road  blacklead ,gulgong,2852,nsw, 02  3764  1633 ,,married-de-facto,189,97,27,79,180,0,melanoma-in-situ-right-nasal-bridge,2013-09-11t14:40+00:00
rec-47089,g175275646,jill,bishop,woods,f,54,10/6/1963, 2047  78656  2  2 , 104  wingeratta  road  condor ,turondale,2795,nsw, 02  4973  8780 ,woods.jill@aol.com,married,197,105,27,71,131,0,breast-cancer,2017-01-27t05:45+00:00
rec-92457,i170764767,cody,halton,angeli,f,46,1/4/1963, 5105  64049  1  2 , 159  muhlebachs  road  strathmore  vineyard , sutherlands  creek ,3331,vic,,,not-married,174,104,34,74,214,0,reactive-sadness-to-spouse's-irritability,2012-01-20t07:47+00:00
rec-97236,b143183193,kenneth,raymond,jackson,f,11,17/5/2005, 7928  99550  1  3 , 574  glendonbrook  road  eljireh ,glendonbrook,2330,nsw, 02  7539  1021 ,kenneth.jackson@gmail.com,n/a,133,32,18,75,123,0,chest-pain-over-sternum,2016-09-21t05:50+00:00
rec-52526,f131253919,paula,h,harris,f,10,16/3/2004, 7560  86343  1  3 , 1  barrett  drive  floreat  village , alice  springs ,0870,nt,,,n/a,127,34,21,71,233,0,insomnia,2014-10-09t14:26+00:00
rec-23292,b171552327,stephen,haywood,yeamans,m,57,20/7/1960, 7006  62197  1  2 , 12  albermarle  place  cameray  court ,phillip,2606,act, 02  9626  4770 ,yeamans.stephen@mail.com.au,not-married,185,131,38,74,107,0,soreness-to-forehead,2017-12-06t11:47+00:00
rec-69703,b108478660,ronald,,lee,m,18,10/4/1996, 9155  84183  2  3 , 258  spring  street  yukana  retirement  village ,toowoomba,4350,qld,,ronald19@yahoo.com,married,176,-99,27,75,212,0,seizure,2014-10-16t12:33+00:00
rec-13290,h123069103,angel,h,connor,m,41,30/7/1975, 8143  56416  2  1 , 1061  silverdale  road  house  1 ,werombi,2570,nsw, 02  0334  2199 ,jkbadsdnfi@aol.com,not-married,199,78,19,69,166,1,neck,2016-07-26t18:12+00:00
rec-52410,f157989963,gregory,bryant,faircloth,m,47,16/7/1971, 7482  22523  1  2 , 14  adie  court  richard  cleaver  lodge ,bentley,6102,wa,,faircloth39@aol.com,married-de-facto,193,135,36,75,176,0,brain-bleed-s/p-fall,2018-08-01t18:51+00:00
rec-48291,b189178441,davante,levar,britton,m,15,27/10/1996, 2006  87007  2  3 , 492  great  western  highway  danville ,faulconbridge,2776,nsw, 02  5147  4727 ,,not-married,184,56,16,71,252,0,basal-cell-cancer,2014-06-12t15:53+00:00
rec-57675,b148652597,morgan,,winslow,f,61,26/8/1951, 8438  34426  2  2 , 1  francis  road  olive  grove ,bordertown,,sa,,morgan.winslow@gmail.com,married-de-facto,165,77,28,77,220,1,thyroid-nodule-size-increase,2012-01-13t14:59+00:00
rec-78742,d124020754,zachary,,reichert,f,3,16/9/2009, 1822  78817  2  3 , 1  spring  range  road  tarra  lakeview ,hall,2618,act, 02  0204  5799 ,reichert.zachary@yahoo.com,n/a,89,19,23,68,171,0,diabetes,2012-12-15t12:13+00:00
rec-37448,d175755172,robert,ronnell,cutright,f,50,31/5/1963, 7904  38259  1  2 , 1305  macarthur  road  lynwood ,penshurst,3289,vic, 03  4041  5899 ,,married,180,113,34,78,99,0,cold,2013-04-13t15:08+00:00
rec-87412,a128881322,william,alan,moxley,f,21,19/2/1995, 3353  52379  2  2 , 52  st  george  terrace  the  terrace , st  george ,,qld, 07  4879  9051 ,moxley.william@hotmail.com,not-married,186,68,19,79,155,0,left-leg-pain-radiating-to-left-foot,2016-02-05t22:03+00:00
rec-82078,h105560761,fred,roger,curtis,f,23,7/7/1989, 9573  46041  1  2 , 52  newstead  terrace  riverstead  apartments ,newstead,4006,qld, 07  3266  1264 ,curtis4@mail.com,married,198,98,24,74,180,0,ingrown-toenails,2012-03-13t13:21+00:00
rec-46254,h120510353,audrey,ratenya,lane,f,23,9/2/1991, 3395  33887  1  2 , 7  community  road  balga  hills ,ord,6743,wa,,lane.audrey@mail.com.au,not-married,195,123,32,75,145,0,increase-in-incidence-of-more-euphoric-mood,2014-11-21t22:59+00:00
rec-62240,c174748016,phillip,daniel,alston,m,44,12/3/1969, 6128  84715  1  2 , 172  farrawells  road  forest  lodge , telegraph  point ,2441,nsw, 02  1436  0431 ,,not-married,185,59,17,73,77,0,fall-on-stairs,2013-02-08t08:43+00:00
rec-67225,i122081027,misty,karen,thornton,f,75,24/3/1943, 1317  24560  2  2 , 118  parker  street  bellvue  garden , port  macquarie ,,nsw, 02  1353  6469 ,qkdbaptqpl@gmail.com,married,171,136,46,75,124,0,no-circulation-in-feet,2018-04-23t13:37+00:00
rec-57606,g191670354,gladys,sylvester,bowden,f,42,26/1/1975, 8676  16765  1  2 , 4  osterlund  close  city  view  estate ,cairns,4870,qld,,bowden.gladys@gmail.com,separated,199,59,14,69,164,0,cataract-replacement,2017-03-20t17:31+00:00
rec-33884,g176146983,robert,scott,kachel,m,16,27/1/2002, 1533  19130  2  2 , 67  arthur  street  south ,unley,5061,sa,,ekmipqesjo@gmail.com,n/a,163,-99,35,75,144,0,chest-pain,2018-05-10t17:49+00:00
rec-94206,b155411007,joshua,anthony,sandoval,f,44,10/8/1968, 5727  28039  2  2 , 5  evans  road  heritage  est ,toukley,2263,nsw, 02  3987  1841 ,qrljjhiagd@gmail.com,married,167,140,50,69,111,0,constipation,2012-02-05t17:51+00:00
rec-19108,c132662009,rosemary,brynn,griffith,f,51,23/6/1963, 8782  51008  2  2 , 10  dann  close  brindabella  centre ,garran,2605,act, 02  4961  6172 ,,not-married,189,63,17,77,134,0,left-arm-hematoma,2017-05-05t08:04+00:00
rec-34084,c166762823,ethel,,holliman,m,60,7/4/1955, 1718  52793  1  1 , 1  maud  street  rosetta  village , victor  harbor ,5211,sa, 08  8949  9277 ,holliman.ethel.aol.com,married-de-facto,188,125,35,71,185,0,sweating,2018-12-06t02:15+00:00
rec-47855,c128510971,salem,marie,cook,f,63,24/5/1955, 4077  22351  1  2 , 47  cambridge  street  villa  4 ,penshurst,,nsw, 02  1329  6527 ,,married,172,109,36,82,92,0,blurred-vision,2018-05-18t17:19+00:00
